InventoryId,Sum of BeginOnHand,Sum of EndOnHand,LowInvFlag,Sum of Purch_Agg.TotalPurchase$,Sum of Purch_Agg.TotalPurchaseQty,Sum of Sales_Agg.TotalSales$,Sum of Sales_Agg.TotalSalesQty,Purch_Agg.AvgPurchasePrice,Inventory Variance
,467247,0,1,,,0,0,,-467247
1_HARDERSFIELD_1001,0,0,1,513.6,120,0,0,4.28,0
1_HARDERSFIELD_10021,25,23,0,189.36,24,89.94,6,7.89,-2
1_HARDERSFIELD_1003,0,0,1,399.84,24,0,0,16.66,0
1_HARDERSFIELD_10058,21,47,0,3657.7,395,1247.9,94,9.26,26
1_HARDERSFIELD_10062,23,29,0,584.91,97,278.69,31,6.03,6
1_HARDERSFIELD_10227,20,9,1,505.12,82,89.91,9,6.16,-11
1_HARDERSFIELD_10236,1,79,0,3209.91,411,460.7,30,7.81,78
1_HARDERSFIELD_10238,14,19,0,2377.18,223,799.5,50,10.66,5
1_HARDERSFIELD_10239,14,22,0,1153.16,127,442.69,31,9.08,8
1_HARDERSFIELD_10266,12,66,0,2548.28,266,356.79,21,9.58,54
1_HARDERSFIELD_1028,0,4,1,102.78,18,0,0,5.71,4
1_HARDERSFIELD_10296,0,23,0,1138.41,117,360.77,23,9.73,23
1_HARDERSFIELD_1033,17,4,1,,,123.96,4,,-13
1_HARDERSFIELD_10357,36,15,0,602.04,116,151.81,19,5.19,-21
1_HARDERSFIELD_1036,5,4,1,835.52,28,199.95,5,29.84,-1
1_HARDERSFIELD_1038,0,3,1,590.76,36,0,0,16.41,3
1_HARDERSFIELD_10420,13,37,0,958.1,286,182.41,29,3.35,24
1_HARDERSFIELD_10421,6,83,0,1852.6,314,366.68,32,5.9,77
1_HARDERSFIELD_10441,4,6,1,657,60,227.88,12,10.95,2
1_HARDERSFIELD_10443,38,58,0,851.5,131,81.94,6,6.5,20
1_HARDERSFIELD_10451,13,17,0,1481.2,280,500.5,50,5.29,4
1_HARDERSFIELD_10453,20,26,0,687.7,130,289.71,29,5.29,6
1_HARDERSFIELD_10472,55,97,0,2968.23,489,129.9,10,6.07,42
1_HARDERSFIELD_10579,28,110,0,1105.54,167,261.78,22,6.62,82
1_HARDERSFIELD_10596,15,14,0,502.86,51,204.87,13,9.86,-1
1_HARDERSFIELD_1060,38,0,1,173.6,8,491.83,17,21.7,-38
1_HARDERSFIELD_10609,11,43,0,3739.68,477,304.76,24,7.84,32
1_HARDERSFIELD_10626,14,52,0,941.25,125,252.77,23,7.53,38
1_HARDERSFIELD_1065,5,1,1,201.4,20,51.96,4,10.07,-4
1_HARDERSFIELD_1070,0,26,0,394.42,41,0,0,9.62,26
1_HARDERSFIELD_1071,0,60,0,882,60,0,0,14.7,60
1_HARDERSFIELD_10723,16,79,0,2542,410,321.73,27,6.2,63
1_HARDERSFIELD_10727,21,31,0,2369.58,438,525.39,53,5.41,10
1_HARDERSFIELD_10732,0,3,1,117.6,12,0,0,9.8,3
1_HARDERSFIELD_1074,0,30,0,1199.7,30,0,0,39.99,30
1_HARDERSFIELD_1076,0,4,1,266.76,351,0,0,0.76,4
1_HARDERSFIELD_10762,0,2,1,48.6,12,0,0,4.05,2
1_HARDERSFIELD_1081,0,18,0,524.34,18,0,0,29.13,18
1_HARDERSFIELD_1086,0,19,0,1342.44,36,0,0,37.29,19
1_HARDERSFIELD_10874,3,18,0,2703.27,359,659.4,60,7.53,15
1_HARDERSFIELD_10927,3,12,0,689.85,105,149.85,15,6.57,9
1_HARDERSFIELD_1093,0,16,0,468.48,24,0,0,19.52,16
1_HARDERSFIELD_1094,3,5,1,1226.72,41,208.95,5,29.92,2
1_HARDERSFIELD_1095,0,27,0,373.8,35,0,0,10.68,27
1_HARDERSFIELD_10957,11,15,0,1150.56,188,379.6,40,6.12,4
1_HARDERSFIELD_1106,8,8,1,,,0,0,,0
1_HARDERSFIELD_11067,66,24,0,98.88,12,191.71,13,8.24,-42
1_HARDERSFIELD_11089,18,13,0,493.92,72,69.65,7,6.86,-5
1_HARDERSFIELD_11141,7,27,0,1309.8,236,468.54,46,5.55,20
1_HARDERSFIELD_11149,0,9,1,399.84,34,0,0,11.76,9
1_HARDERSFIELD_11196,28,65,0,764.4,130,209.79,21,5.88,37
1_HARDERSFIELD_11199,30,4,1,,,51.97,3,,-26
1_HARDERSFIELD_11213,21,31,0,4443.66,351,652.68,32,12.66,10
1_HARDERSFIELD_11214,14,15,0,2919.14,58,494.81,7,50.33,1
1_HARDERSFIELD_11219,54,101,0,9461.24,1121,1779.83,117,8.44,47
1_HARDERSFIELD_11227,4,8,1,447.58,46,147.91,9,9.73,4
1_HARDERSFIELD_11238,2,22,0,1429.92,108,292.86,14,13.24,20
1_HARDERSFIELD_11240,0,10,1,114.96,12,0,0,9.58,10
1_HARDERSFIELD_1125,0,0,1,97.74,6,0,0,16.29,0
1_HARDERSFIELD_1127,0,1,1,224.88,24,0,0,9.37,1
1_HARDERSFIELD_1130,0,10,1,921.36,24,0,0,38.39,10
1_HARDERSFIELD_1132,0,17,0,668.16,36,0,0,18.56,17
1_HARDERSFIELD_11320,7,8,1,1021.68,132,275.77,23,7.74,1
